"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PWR_SW1";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"SW_Push_SPDT";;;
2;"C1,C2";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"10u";;;
3;"D1,D2,D3";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"LED";;;
4;"Q1";"SOT-23";1;"2N7002";;;
5;"R1,R2,R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"500";;;
6;"U1";"OKI_Horizontal";1;"OKI";;;
7;"U2";"ESP8266-01";1;"ESP_8266_01";;;
8;"Conn1";"MOLEX_SL_02_Horizontal_NoHole";1;"E-Stop_to_BMS";;;
9;"Conn2";"MOLEX_SL_02_Horizontal_NoHole";1;"9V Battery";;;
10;"G***";"MRDT_Logo_7.5mm";1;"LOGO";;;
11;"G***";"2_Dahlbot_2.0";1;"LOGO";;;
